id,class_id,logp
20110112_085632_25-a.sph,ara-arq,0.9999215882183581
20110112_085632_25-b.sph,ara-arq,0.9933264028811798
20110112_093821_26-a.sph,ara-arq,0.9982419072530201
20110112_093821_26-b.sph,ara-arq,0.9877989962861538
20110112_100739_27-a.sph,ara-arq,0.9998601825318931
20110112_100739_27-b.sph,ara-arq,0.9998461026324816
20110112_102931_28-a.sph,ara-arq,0.9988240996203235
20110112_102931_28-b.sph,ara-arq,0.9992945069664346
20110112_110035_29-a.sph,ara-arq,0.9956050254373241
20110112_110035_29-b.sph,ara-arq,0.9998179655506749
20110112_120034_30-a.sph,ara-arq,0.9999956254632509
20110112_120034_30-b.sph,ara-arq,0.9999961650306969
20110112_121837_31-a.sph,ara-arq,0.9992484722468692
20110112_121837_31-b.sph,ara-arq,0.9988521768999281
20110112_125124_32-a.sph,ara-arq,0.9992562768302394
20110112_125124_32-b.sph,ara-arq,0.9965659470692162
20110112_131159_33-a.sph,ara-arq,0.9999484673386585
20110112_131159_33-b.sph,ara-arq,0.999988595598022
20110112_135057_34-a.sph,ara-arq,0.9964035382836839
20110112_140409_35-b.sph,ara-arq,0.9993163776118849
20110112_143151_37-a.sph,ara-arq,0.9978091561892594
20110112_144321_38-a.sph,ara-arq,0.9882030389155663
20110112_151915_40-a.sph,ara-arq,0.9999863814255752
20110112_151915_40-b.sph,ara-arq,0.9999867872908822
20110112_164438_41-a.sph,ara-arq,0.9911464286505152
20110112_164438_41-b.sph,ara-arq,0.9982784286981317
20110112_170310_42-b.sph,ara-arq,0.9957287722811907
20110112_174334_44-a.sph,ara-arq,0.9994637389176244
20110112_174334_44-b.sph,ara-arq,0.9999979913404728
20110112_175917_46-a.sph,ara-arq,0.999896350765443
20110112_175917_46-b.sph,ara-arq,0.9992906517833624
20110112_181316_47-a.sph,ara-arq,0.9865135533386489
20110112_181316_47-b.sph,ara-arq,0.9799283164010801
20110112_184303_48-a.sph,ara-arq,0.9999941253436267
20110112_184303_48-b.sph,ara-arq,0.9894727409462367
20110112_185018_49-a.sph,ara-arq,0.9993235515178335
20110112_185018_49-b.sph,ara-arq,0.9964110986149859
20110112_190919_51-a.sph,ara-arq,0.9975136717392243
20110112_195355_54-a.sph,ara-arq,0.9994973714549525
20110112_210716_56-b.sph,ara-arq,0.9999953505624561
20110113_154325_58-a.sph,ara-arq,0.9999971862717217
20110113_155707_60-a.sph,ara-aeb,0.999254762801491
20110113_155707_60-b.sph,ara-arq,0.9999588882350571
20110113_160907_61-a.sph,ara-arq,0.9999960880781135
20110113_160907_61-b.sph,ara-arq,0.9999863740819315
20110113_210803_66-a.sph,ara-arq,0.9973323794741106
20110113_210803_66-b.sph,ara-arq,0.9989444092443852
20110114_010743_69-a.sph,ara-arq,0.9999099284602719
20110114_010743_69-b.sph,ara-arq,0.9763890642555946
20110114_132253_70-a.sph,ara-arq,0.9999970659217092
20110114_170901_71-a.sph,ara-arq,0.9999919868727419
20110114_170901_71-b.sph,ara-arq,0.9854190368540645
20110114_174847_72-a.sph,ara-arq,0.9999794141191631
20110114_174847_72-b.sph,ara-arq,0.9999942469709167
20110115_083054_73-a.sph,ara-arq,0.999835593793634
20110115_083054_73-b.sph,ara-arq,0.9874468440342952
20110115_090248_75-a.sph,ara-arq,0.9999406720119036
20110115_090248_75-b.sph,ara-arq,0.992340537440409
20110115_093602_76-a.sph,ara-arq,0.999989554911121
20110115_093602_76-b.sph,ara-arq,0.9999977173414476
20110115_094928_77-a.sph,ara-arq,0.9978338195939027
20110115_094928_77-b.sph,ara-arq,0.9999543347173833
20110115_101940_80-a.sph,ara-arq,0.9999919712722404
20110115_101940_80-b.sph,ara-arq,0.9999936335315381
20110115_114622_88-a.sph,ara-arq,0.9994230181724559
20110115_114622_88-b.sph,ara-arq,0.9987494039544832
20110115_115414_89-a.sph,ara-arq,0.9997873068050884
20110115_115414_89-b.sph,ara-arq,0.9996879869582883
20110115_120333_90-a.sph,ara-arq,0.9999911829644114
20110115_120333_90-b.sph,ara-aeb,0.9907357013205295
20110115_154229_93-a.sph,ara-arq,0.9999908976134848
20110115_160534_94-a.sph,ara-arq,0.9999941336401025
20110115_160534_94-b.sph,ara-arq,0.9970317402712736
20110115_170405_96-a.sph,ara-arq,0.9991143532054212
20110115_170405_96-b.sph,ara-arq,0.9996419863942765
20110115_172633_97-a.sph,ara-arq,0.983493662520541
20110115_172633_97-b.sph,ara-arq,0.9999960891934105
20110115_173918_98-b.sph,ara-arq,0.9899208181081557
20110116_212111_99-a.sph,ara-arq,0.9998892280312053
20110118_122005_102-a.sph,ara-arq,0.9999988862765399
20110118_122005_102-b.sph,ara-arq,0.9909318482173783
20110118_154651_104-a.sph,ara-arq,0.999987636189934
20110119_101115_108-a.sph,ara-arq,0.9999649201104261
20110119_101115_108-b.sph,ara-arq,0.9970793271378511
20110119_103907_109-a.sph,ara-arq,0.999982064110703
20110119_103907_109-b.sph,ara-arq,0.9930181910779016
20110119_123138_110-b.sph,ara-arq,0.9865006019221569
20110119_130923_111-a.sph,ara-arq,0.997152167078472
20110119_130923_111-b.sph,ara-arq,0.9981643655714929
20110119_131501_113-b.sph,ara-arq,0.9999035286024007
20110119_162158_114-a.sph,ara-arq,0.9999999535234435
20110119_162158_114-b.sph,ara-arq,0.9972175314415649
20110119_164045_115-a.sph,ara-arq,0.999995752838363
20110119_164045_115-b.sph,ara-arq,0.9997628034439311
20110119_185412_118-a.sph,ara-arq,0.9998202289146529
20110119_185412_118-b.sph,ara-arq,0.9984931074535468
20110119_191933_119-a.sph,ara-arq,0.9998427532239414
20110119_191933_119-b.sph,ara-arq,0.9999158034849497
20110120_063303_126-a.sph,ara-aeb,0.9983408495530686
20110120_065333_127-a.sph,ara-arq,0.9992096176188296
20110120_065333_127-b.sph,ara-arq,0.9999999917747343
20110120_103241_131-a.sph,ara-arq,0.9993182345500153
20110121_133744_171-a.sph,ara-arq,0.9999999215696308
20110121_135108_172-a.sph,ara-arq,0.9997247255224011
20110121_135108_172-b.sph,ara-arq,0.9948115916234687
20110121_150759_174-a.sph,ara-arq,0.9999584736982609
20110121_205639_189-a.sph,ara-arq,0.9999897466147079
20110121_205639_189-b.sph,ara-arq,0.9999990343864227
